
 CASO : 74 -> ['X1', 'X1', 'X4', 'X4', 'X1', 'X4']


 CASO : 75 -> ['X1', 'X1', 'X4', 'X4', 'X2', 'X1']


 CASO : 76 -> ['X1', 'X1', 'X4', 'X4', 'X2', 'X2']


 CASO : 77 -> ['X1', 'X1', 'X4', 'X4', 'X2', 'X4']


 CASO : 78 -> ['X1', 'X1', 'X4', 'X4', 'X4', 'X1']


 CASO : 79 -> ['X1', 'X1', 'X4', 'X4', 'X4', 'X2']


 CASO : 80 -> ['X1', 'X1', 'X4', 'X4', 'X4', 'X4']


 CASO : 81 -> ['X1', 'X2', 'X1', 'X1', 'X1', 'X1']


 CASO : 82 -> ['X1', 'X2', 'X1', 'X1', 'X1', 'X2']


 CASO : 83 -> ['X1', 'X2', 'X1', 'X1', 'X1', 'X4']


 CASO : 84 -> ['X1', 'X2', 'X1', 'X1', 'X2', 'X1']


 CASO : 85 -> ['X1', 'X2', 'X1', 'X1', 'X2', 'X2']


 CASO : 86 -> ['X1', 'X2', 'X1', 'X1', 'X2', 'X4']


 CASO : 87 -> ['X1', 'X2', 'X1', 'X1', 'X4', 'X1']


 CASO : 88 -> ['X1', 'X2', 'X1', 'X1', 'X4', 'X2']


 CASO : 89 -> ['X1', 'X2', 'X1', 'X1', 'X4', 'X4']


 CASO : 90 -> ['X1', 'X2', 'X1', 'X2', 'X1', 'X1']


 CASO : 91 -> ['X1', 'X2', 'X1', 'X2', 'X1', 'X2']


 CASO : 92 -> ['X1', 'X2', 'X1', 'X2', 'X1', 'X4']


 CASO : 93 -> ['X1', 'X2', 'X1', 'X2', 'X2', 'X1']


 CASO : 94 -> ['X1', 'X2', 'X1', 'X2', 'X2', 'X2']


 CASO : 95 -> ['X1', 'X2', 'X1', 'X2', 'X2', 'X4']


 CASO : 96 -> ['X1', 'X2', 'X1', 'X2', 'X4', 'X1']


 CASO : 97 -> ['X1', 'X2', 'X1', 'X2', 'X4', 'X2']


 CASO : 98 -> ['X1', 'X2', 'X1', 'X2', 'X4', 'X4']


 CASO : 99 -> ['X1', 'X2', 'X1', 'X4', 'X1', 'X1']


 CASO : 100 -> ['X1', 'X2', 'X1', 'X4', 'X1', 'X2']


 CASO : 101 -> ['X1', 'X2', 'X1', 'X4', 'X1', 'X4']


 CASO : 102 -> ['X1', 'X2', 'X1', 'X4', 'X2', 'X1']


 CASO : 103 -> ['X1', 'X2', 'X1', 'X4', 'X2', 'X2']


 CASO : 104 -> ['X1', 'X2', 'X1', 'X4', 'X2', 'X4']


 CASO : 105 -> ['X1', 'X2', 'X1', 'X4', 'X4', 'X1']


 CASO : 106 -> ['X1', 'X2', 'X1', 'X4', 'X4', 'X2']


 CASO : 107 -> ['X1', 'X2', 'X1', 'X4', 'X4', 'X4']


 CASO : 108 -> ['X1', 'X2', 'X2', 'X1', 'X1', 'X1']


 CASO : 109 -> ['X1', 'X2', 'X2', 'X1', 'X1', 'X2']


 CASO : 110 -> ['X1', 'X2', 'X2', 'X1', 'X1', 'X4']


 CASO : 111 -> ['X1', 'X2', 'X2', 'X1', 'X2', 'X1']


 CASO : 112 -> ['X1', 'X2', 'X2', 'X1', 'X2', 'X2']


 CASO : 113 -> ['X1', 'X2', 'X2', 'X1', 'X2', 'X4']


 CASO : 114 -> ['X1', 'X2', 'X2', 'X1', 'X4', 'X1']


 CASO : 115 -> ['X1', 'X2', 'X2', 'X1', 'X4', 'X2']


 CASO : 116 -> ['X1', 'X2', 'X2', 'X1', 'X4', 'X4']


 CASO : 117 -> ['X1', 'X2', 'X2', 'X2', 'X1', 'X1']


 CASO : 118 -> ['X1', 'X2', 'X2', 'X2', 'X1', 'X2']


 CASO : 119 -> ['X1', 'X2', 'X2', 'X2', 'X1', 'X4']


 CASO : 120 -> ['X1', 'X2', 'X2', 'X2', 'X2', 'X1']


 CASO : 121 -> ['X1', 'X2', 'X2', 'X2', 'X2', 'X2']


 CASO : 122 -> ['X1', 'X2', 'X2', 'X2', 'X2', 'X4']


 CASO : 123 -> ['X1', 'X2', 'X2', 'X2', 'X4', 'X1']


 CASO : 124 -> ['X1', 'X2', 'X2', 'X2', 'X4', 'X2']


 CASO : 125 -> ['X1', 'X2', 'X2', 'X2', 'X4', 'X4']


 CASO : 126 -> ['X1', 'X2', 'X2', 'X4', 'X1', 'X1']


 CASO : 127 -> ['X1', 'X2', 'X2', 'X4', 'X1', 'X2']


 CASO : 128 -> ['X1', 'X2', 'X2', 'X4', 'X1', 'X4']


 CASO : 129 -> ['X1', 'X2', 'X2', 'X4', 'X2', 'X1']


 CASO : 130 -> ['X1', 'X2', 'X2', 'X4', 'X2', 'X2']


 CASO : 131 -> ['X1', 'X2', 'X2', 'X4', 'X2', 'X4']


 CASO : 132 -> ['X1', 'X2', 'X2', 'X4', 'X4', 'X1']


 CASO : 133 -> ['X1', 'X2', 'X2', 'X4', 'X4', 'X2']


 CASO : 134 -> ['X1', 'X2', 'X2', 'X4', 'X4', 'X4']


 CASO : 135 -> ['X1', 'X2', 'X4', 'X1', 'X1', 'X1']


 CASO : 136 -> ['X1', 'X2', 'X4', 'X1', 'X1', 'X2']


 CASO : 137 -> ['X1', 'X2', 'X4', 'X1', 'X1', 'X4']


 CASO : 138 -> ['X1', 'X2', 'X4', 'X1', 'X2', 'X1']


 CASO : 139 -> ['X1', 'X2', 'X4', 'X1', 'X2', 'X2']


 CASO : 140 -> ['X1', 'X2', 'X4', 'X1', 'X2', 'X4']


 CASO : 141 -> ['X1', 'X2', 'X4', 'X1', 'X4', 'X1']


 CASO : 142 -> ['X1', 'X2', 'X4', 'X1', 'X4', 'X2']


 CASO : 143 -> ['X1', 'X2', 'X4', 'X1', 'X4', 'X4']


 CASO : 144 -> ['X1', 'X2', 'X4', 'X2', 'X1', 'X1']


 CASO : 145 -> ['X1', 'X2', 'X4', 'X2', 'X1', 'X2']


 CASO : 146 -> ['X1', 'X2', 'X4', 'X2', 'X1', 'X4']


 CASO : 147 -> ['X1', 'X2', 'X4', 'X2', 'X2', 'X1']


 CASO : 148 -> ['X1', 'X2', 'X4', 'X2', 'X2', 'X2']


 CASO : 149 -> ['X1', 'X2', 'X4', 'X2', 'X2', 'X4']


 CASO : 150 -> ['X1', 'X2', 'X4', 'X2', 'X4', 'X1']


 CASO : 151 -> ['X1', 'X2', 'X4', 'X2', 'X4', 'X2']


 CASO : 152 -> ['X1', 'X2', 'X4', 'X2', 'X4', 'X4']


 CASO : 153 -> ['X1', 'X2', 'X4', 'X4', 'X1', 'X1']


 CASO : 154 -> ['X1', 'X2', 'X4', 'X4', 'X1', 'X2']


 CASO : 155 -> ['X1', 'X2', 'X4', 'X4', 'X1', 'X4']


 CASO : 156 -> ['X1', 'X2', 'X4', 'X4', 'X2', 'X1']


 CASO : 157 -> ['X1', 'X2', 'X4', 'X4', 'X2', 'X2']


 CASO : 158 -> ['X1', 'X2', 'X4', 'X4', 'X2', 'X4']


 CASO : 159 -> ['X1', 'X2', 'X4', 'X4', 'X4', 'X1']


 CASO : 160 -> ['X1', 'X2', 'X4', 'X4', 'X4', 'X2']


 CASO : 161 -> ['X1', 'X2', 'X4', 'X4', 'X4', 'X4']


 CASO : 162 -> ['X1', 'X4', 'X1', 'X1', 'X1', 'X1']


 CASO : 163 -> ['X1', 'X4', 'X1', 'X1', 'X1', 'X2']


 CASO : 164 -> ['X1', 'X4', 'X1', 'X1', 'X1', 'X4']


 CASO : 165 -> ['X1', 'X4', 'X1', 'X1', 'X2', 'X1']


 CASO : 166 -> ['X1', 'X4', 'X1', 'X1', 'X2', 'X2']


 CASO : 167 -> ['X1', 'X4', 'X1', 'X1', 'X2', 'X4']


 CASO : 168 -> ['X1', 'X4', 'X1', 'X1', 'X4', 'X1']


 CASO : 169 -> ['X1', 'X4', 'X1', 'X1', 'X4', 'X2']


 CASO : 170 -> ['X1', 'X4', 'X1', 'X1', 'X4', 'X4']


 CASO : 171 -> ['X1', 'X4', 'X1', 'X2', 'X1', 'X1']


 CASO : 172 -> ['X1', 'X4', 'X1', 'X2', 'X1', 'X2']


 CASO : 173 -> ['X1', 'X4', 'X1', 'X2', 'X1', 'X4']


 CASO : 174 -> ['X1', 'X4', 'X1', 'X2', 'X2', 'X1']


 CASO : 175 -> ['X1', 'X4', 'X1', 'X2', 'X2', 'X2']


 CASO : 176 -> ['X1', 'X4', 'X1', 'X2', 'X2', 'X4']


 CASO : 177 -> ['X1', 'X4', 'X1', 'X2', 'X4', 'X1']


 CASO : 178 -> ['X1', 'X4', 'X1', 'X2', 'X4', 'X2']


 CASO : 179 -> ['X1', 'X4', 'X1', 'X2', 'X4', 'X4']


 CASO : 180 -> ['X1', 'X4', 'X1', 'X4', 'X1', 'X1']


 CASO : 181 -> ['X1', 'X4', 'X1', 'X4', 'X1', 'X2']


 CASO : 182 -> ['X1', 'X4', 'X1', 'X4', 'X1', 'X4']


 CASO : 183 -> ['X1', 'X4', 'X1', 'X4', 'X2', 'X1']


 CASO : 184 -> ['X1', 'X4', 'X1', 'X4', 'X2', 'X2']


 CASO : 185 -> ['X1', 'X4', 'X1', 'X4', 'X2', 'X4']


 CASO : 186 -> ['X1', 'X4', 'X1', 'X4', 'X4', 'X1']


 CASO : 187 -> ['X1', 'X4', 'X1', 'X4', 'X4', 'X2']


 CASO : 188 -> ['X1', 'X4', 'X1', 'X4', 'X4', 'X4']


 CASO : 189 -> ['X1', 'X4', 'X2', 'X1', 'X1', 'X1']


 CASO : 190 -> ['X1', 'X4', 'X2', 'X1', 'X1', 'X2']


 CASO : 191 -> ['X1', 'X4', 'X2', 'X1', 'X1', 'X4']


 CASO : 192 -> ['X1', 'X4', 'X2', 'X1', 'X2', 'X1']


 CASO : 193 -> ['X1', 'X4', 'X2', 'X1', 'X2', 'X2']


 CASO : 194 -> ['X1', 'X4', 'X2', 'X1', 'X2', 'X4']


 CASO : 195 -> ['X1', 'X4', 'X2', 'X1', 'X4', 'X1']


 CASO : 196 -> ['X1', 'X4', 'X2', 'X1', 'X4', 'X2']


 CASO : 197 -> ['X1', 'X4', 'X2', 'X1', 'X4', 'X4']


 CASO : 198 -> ['X1', 'X4', 'X2', 'X2', 'X1', 'X1']


 CASO : 199 -> ['X1', 'X4', 'X2', 'X2', 'X1', 'X2']


 CASO : 200 -> ['X1', 'X4', 'X2', 'X2', 'X1', 'X4']


 CASO : 201 -> ['X1', 'X4', 'X2', 'X2', 'X2', 'X1']


 CASO : 202 -> ['X1', 'X4', 'X2', 'X2', 'X2', 'X2']


 CASO : 203 -> ['X1', 'X4', 'X2', 'X2', 'X2', 'X4']


 CASO : 204 -> ['X1', 'X4', 'X2', 'X2', 'X4', 'X1']


 CASO : 205 -> ['X1', 'X4', 'X2', 'X2', 'X4', 'X2']


 CASO : 206 -> ['X1', 'X4', 'X2', 'X2', 'X4', 'X4']


 CASO : 207 -> ['X1', 'X4', 'X2', 'X4', 'X1', 'X1']


